library name,text,rodata,data,bss,code,flash,ram
lib\libapploader.a,764,8241,4,16,9005,9009,20
libappstart.a,2134,530,0,27,2664,2664,27
lib\libatr.a,8486,11440,0,18920,19926,19926,18920
lib\libats.a,94596,46811,99,10577,141407,141506,10676
lib\libaudio_core.a,136240,94589,0,0,230829,230829,0
lib\libaudio_media.a,356,64,0,0,420,420,0
lib\libbdev.a,698,0,0,0,698,698,0
lib\libbdev_core.a,2886,20,0,0,2906,2906,0
lib\libblueu_core.a,195798,48009,1813,3827,243807,245620,5640
lib\libboot_ex_ql_pin.a,0,1,152,1,1,153,153
lib\libboot_ex_spi6nor.a,1250,308,138,6,1558,1696,144
lib\libbt_app.a,245176,3974,46,8976,249150,249196,9022
lib\libbt_nv.a,64,0,0,0,64,64,0
lib\libcalclib.a,2340,79,0,0,2419,2419,0
lib\libcalclib_crc.a,296,1280,0,0,1576,1576,0
lib\libcfw.a,1458,8580,0,4,10038,10038,4
lib\libcfw_core.a,25850,490,0,18,26340,26340,18
lib\libdiag.a,4676,889,0,584,5565,5565,584
lib\libdriver_camera.a,8164,2634,377,94,10798,11175,471
lib\libdriver_charge_adc.a,5628,1649,78,264,7277,7355,342
lib\libdriver_core.a,8032,420,8,4583,8452,8460,4591
lib\libdriver_lcd.a,4400,1495,86,3,5895,5981,89
lib\libdrv_host.a,1450,0,0,0,1450,1450,0
lib\libfatfs.a,4762,1046,117,24,5808,5925,141
lib\libfatfs_core.a,12228,638,0,19,12866,12866,19
lib\libfs.a,5148,389,192,136,5537,5729,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1396,38,1,8,1434,1435,9
lib\libfupdate_core.a,3014,56,12,0,3070,3082,12
lib\libfupdate_security_app.a,104,0,0,0,104,104,0
lib\libhal_prop.a,1014,2393,468,376,3407,3875,844
lib\liblcdpanel.a,2802,226,16,0,3028,3044,16
lib\liblwip.a,121432,21428,30,65179,142860,142890,65209
lib\libmal.a,644,57,0,4,701,701,4
lib\libmbedtls.a,158894,54079,87,9386,212973,213060,9473
lib\libml.a,1674,16452,168,4,18126,18294,172
lib\libnanopb.a,5168,554,0,0,5722,5722,0
lib\libnet.a,18266,3825,90,12076,22091,22181,12166
lib\libnvm.a,2736,1485,0,7,4221,4221,7
lib\liboql_core_drv.a,264,1321,405,0,1585,1990,405
lib\liboql_core_virt_func.a,474,0,0,10,474,474,10
lib\libosi_core.a,6572,7,0,125,6579,6579,125
lib\libql_open_at.a,288,218,0,0,506,506,0
lib\libql_spi4_nor_prop.a,24,0,200,0,24,224,200
lib\librpc_core.a,2848,24538,0,4,27386,27386,4
lib\libservice.a,30380,3477,12,8836,33857,33869,8848
lib\libsffs_core.a,23804,228,8,0,24032,24040,8
lib\libxlat.a,10968,2199,0,4,13167,13167,4
